epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI3_0:i,GNDI3_0:j,GNDI3_0:k,GNDI3_0:alpha1,GNDI3_0:alpha2
3300                ,0.72141             ,0.71691             ,0.07199             ,0.07233             ,370                 ,2004                ,2352                ,-0.05985            ,0.91405             
3350                ,0.72363             ,0.71893             ,0.0717              ,0.07207             ,369                 ,2004                ,2352                ,-0.05949            ,0.91413             
3400                ,0.72572             ,0.72085             ,0.07143             ,0.07182             ,368                 ,2004                ,2352                ,-0.05919            ,0.91421             
3450                ,0.72766             ,0.72274             ,0.07117             ,0.07158             ,367                 ,2004                ,2352                ,-0.05898            ,0.91431             
3500                ,0.72949             ,0.72444             ,0.07093             ,0.07136             ,368                 ,2004                ,2352                ,-0.0588             ,0.91444             
3550                ,0.73132             ,0.72615             ,0.07069             ,0.07114             ,368                 ,2004                ,2352                ,-0.05864            ,0.91464             
3600                ,0.73297             ,0.72805             ,0.07048             ,0.07089             ,368                 ,2004                ,2352                ,-0.05846            ,0.91478             
3650                ,0.73454             ,0.72981             ,0.07027             ,0.07066             ,368                 ,2004                ,2352                ,-0.05836            ,0.91486             
3700                ,0.73606             ,0.7316              ,0.07007             ,0.07043             ,368                 ,2004                ,2352                ,-0.05837            ,0.91489             
3750                ,0.73744             ,0.73324             ,0.06988             ,0.07021             ,368                 ,2004                ,2352                ,-0.05843            ,0.91486             
3800                ,0.73871             ,0.73484             ,0.06971             ,0.07                ,368                 ,2004                ,2352                ,-0.05853            ,0.91474             
3850                ,0.73995             ,0.7363              ,0.06955             ,0.06981             ,368                 ,2004                ,2352                ,-0.05874            ,0.91463             
3900                ,0.74106             ,0.73772             ,0.0694              ,0.06962             ,369                 ,2004                ,2352                ,-0.05899            ,0.91454             
3950                ,0.74213             ,0.739               ,0.06926             ,0.06945             ,369                 ,2004                ,2352                ,-0.05933            ,0.91439             
4000                ,0.74314             ,0.74039             ,0.06912             ,0.06926             ,370                 ,2004                ,2352                ,-0.05975            ,0.9142              
