epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI3Alpha_0:i,GNDI3Alpha_0:j,GNDI3Alpha_0:k,GNDI3Alpha_0:alpha1_1,GNDI3Alpha_0:alpha1_2,GNDI3Alpha_0:alpha1_3,GNDI3Alpha_0:alpha1_4,GNDI3Alpha_0:alpha1_5,GNDI3Alpha_0:alpha1_6,GNDI3Alpha_0:alpha2_1,GNDI3Alpha_0:alpha2_2,GNDI3Alpha_0:alpha2_3,GNDI3Alpha_0:alpha2_4,GNDI3Alpha_0:alpha2_5,GNDI3Alpha_0:alpha2_6
1650                ,0.38566             ,0.41435             ,0.1069              ,0.10403             ,4194                ,3626                ,3907                ,0.19056             ,0.52273             ,-0.34551            ,0.20112             ,0.24735             ,0.17464             ,0.33105             ,0.7525              ,0.62262             ,0.39335             ,0.70752             ,0.70612             
1700                ,0.38672             ,0.41574             ,0.1068              ,0.10391             ,4194                ,3626                ,3907                ,0.18313             ,0.51705             ,-0.35046            ,0.19832             ,0.23987             ,0.17791             ,0.32877             ,0.74858             ,0.62332             ,0.39443             ,0.70861             ,0.70225             
1750                ,0.38745             ,0.41687             ,0.10674             ,0.10381             ,4194                ,3627                ,3907                ,0.17611             ,0.51217             ,-0.35206            ,0.19528             ,0.23527             ,0.17985             ,0.32614             ,0.74473             ,0.62326             ,0.39467             ,0.70912             ,0.69822             
1800                ,0.38782             ,0.41741             ,0.10671             ,0.10376             ,4194                ,3627                ,3907                ,0.16918             ,0.50773             ,-0.3521             ,0.19117             ,0.2322              ,0.18118             ,0.32356             ,0.74094             ,0.62272             ,0.39462             ,0.70911             ,0.69352             
1850                ,0.38806             ,0.41771             ,0.10669             ,0.10373             ,4194                ,3627                ,3908                ,0.16232             ,0.50357             ,-0.35111            ,0.18639             ,0.23021             ,0.18207             ,0.32102             ,0.73714             ,0.62185             ,0.39434             ,0.70879             ,0.68839             
1900                ,0.38823             ,0.41796             ,0.10667             ,0.10371             ,4194                ,3627                ,3908                ,0.15556             ,0.49957             ,-0.34952            ,0.18178             ,0.22894             ,0.18273             ,0.31847             ,0.7334              ,0.62082             ,0.39386             ,0.70837             ,0.6837              
1950                ,0.38835             ,0.41811             ,0.10666             ,0.1037              ,4194                ,3627                ,3908                ,0.14886             ,0.49564             ,-0.34754            ,0.17691             ,0.22806             ,0.18334             ,0.31591             ,0.72966             ,0.61967             ,0.39328             ,0.70781             ,0.679               
2000                ,0.38844             ,0.41825             ,0.10666             ,0.10368             ,4194                ,3627                ,3908                ,0.14224             ,0.4917              ,-0.34527            ,0.1719              ,0.22742             ,0.18388             ,0.31335             ,0.72591             ,0.61839             ,0.39258             ,0.70723             ,0.67431             
2050                ,0.38852             ,0.41836             ,0.10665             ,0.10368             ,4194                ,3627                ,3908                ,0.13578             ,0.48782             ,-0.34287            ,0.16686             ,0.22697             ,0.18454             ,0.3106              ,0.72207             ,0.61714             ,0.39177             ,0.70658             ,0.66956             
2100                ,0.38861             ,0.41836             ,0.10664             ,0.10367             ,4194                ,3627                ,3908                ,0.12933             ,0.48392             ,-0.34053            ,0.16182             ,0.22675             ,0.18513             ,0.30797             ,0.7182              ,0.61593             ,0.39103             ,0.70585             ,0.66497             
2150                ,0.38868             ,0.41849             ,0.10663             ,0.10366             ,4194                ,3627                ,3908                ,0.12301             ,0.47996             ,-0.33804            ,0.15698             ,0.22647             ,0.18574             ,0.30523             ,0.71434             ,0.61463             ,0.39014             ,0.70521             ,0.66059             
2200                ,0.38866             ,0.41846             ,0.10664             ,0.10367             ,4194                ,3627                ,3908                ,0.11699             ,0.47617             ,-0.33571            ,0.15285             ,0.22644             ,0.18636             ,0.30213             ,0.71021             ,0.61355             ,0.38921             ,0.70451             ,0.65588             
2250                ,0.38882             ,0.41872             ,0.10662             ,0.10364             ,4194                ,3627                ,3908                ,0.1107              ,0.47202             ,-0.33273            ,0.15255             ,0.22576             ,0.18466             ,0.29954             ,0.70634             ,0.6121              ,0.38931             ,0.70397             ,0.6514              
2300                ,0.38885             ,0.41867             ,0.10662             ,0.10365             ,4194                ,3627                ,3908                ,0.10469             ,0.46782             ,-0.3291             ,0.15195             ,0.22449             ,0.18121             ,0.29656             ,0.70229             ,0.61055             ,0.39007             ,0.70324             ,0.64609             
2350                ,0.38892             ,0.41868             ,0.10661             ,0.10365             ,4194                ,3627                ,3908                ,0.0988              ,0.46353             ,-0.3254             ,0.15131             ,0.22319             ,0.17782             ,0.29355             ,0.69825             ,0.60896             ,0.39082             ,0.70255             ,0.64088             
2400                ,0.38904             ,0.4189              ,0.1066              ,0.10363             ,4194                ,3627                ,3908                ,0.09306             ,0.45914             ,-0.3217             ,0.15076             ,0.22186             ,0.17452             ,0.2905              ,0.69429             ,0.6073              ,0.39142             ,0.70201             ,0.63603             
2450                ,0.38913             ,0.41893             ,0.1066              ,0.10362             ,4194                ,3627                ,3908                ,0.0874              ,0.45474             ,-0.31819            ,0.15005             ,0.22072             ,0.17143             ,0.28751             ,0.69028             ,0.60577             ,0.3921              ,0.70137             ,0.63117             
2500                ,0.38918             ,0.41886             ,0.10659             ,0.10363             ,4194                ,3627                ,3908                ,0.08186             ,0.4503              ,-0.31483            ,0.14925             ,0.21969             ,0.16854             ,0.28455             ,0.68626             ,0.60434             ,0.3928              ,0.70069             ,0.62641             
2550                ,0.38924             ,0.4189              ,0.10659             ,0.10363             ,4194                ,3627                ,3908                ,0.07648             ,0.4458              ,-0.31149            ,0.14854             ,0.21866             ,0.16572             ,0.28154             ,0.68227             ,0.60286             ,0.39339             ,0.70011             ,0.62186             
2600                ,0.38933             ,0.41899             ,0.10658             ,0.10362             ,4194                ,3627                ,3908                ,0.07124             ,0.44123             ,-0.30821            ,0.14785             ,0.21767             ,0.16297             ,0.27856             ,0.67833             ,0.60138             ,0.39393             ,0.69958             ,0.61748             
2650                ,0.38939             ,0.41904             ,0.10657             ,0.10361             ,4194                ,3627                ,3908                ,0.06615             ,0.43663             ,-0.30505            ,0.14719             ,0.21676             ,0.1604              ,0.27557             ,0.6744              ,0.59996             ,0.39444             ,0.69907             ,0.61325             
2700                ,0.38945             ,0.41906             ,0.10657             ,0.10361             ,4194                ,3627                ,3908                ,0.0612              ,0.432               ,-0.30199            ,0.14649             ,0.21593             ,0.15794             ,0.27262             ,0.67048             ,0.59859             ,0.39496             ,0.69854             ,0.6091              
2750                ,0.38949             ,0.41907             ,0.10656             ,0.10361             ,4194                ,3627                ,3908                ,0.05644             ,0.42734             ,-0.29902            ,0.14585             ,0.21516             ,0.15562             ,0.26965             ,0.66657             ,0.59727             ,0.39543             ,0.69803             ,0.60507             
2800                ,0.38954             ,0.41911             ,0.10656             ,0.10361             ,4194                ,3627                ,3908                ,0.05183             ,0.42264             ,-0.2961             ,0.14529             ,0.21443             ,0.15334             ,0.26668             ,0.66266             ,0.59594             ,0.39586             ,0.69756             ,0.60111             
2850                ,0.38958             ,0.4192              ,0.10656             ,0.1036              ,4194                ,3627                ,3908                ,0.04749             ,0.41796             ,-0.29314            ,0.1447              ,0.21369             ,0.15127             ,0.26352             ,0.65874             ,0.59463             ,0.39622             ,0.69712             ,0.5972              
2900                ,0.38963             ,0.41956             ,0.10655             ,0.10357             ,4194                ,3627                ,3908                ,0.04388             ,0.41347             ,-0.28992            ,0.14448             ,0.21284             ,0.14945             ,0.25919             ,0.65464             ,0.59325             ,0.39609             ,0.69689             ,0.59312             
2950                ,0.3897              ,0.41952             ,0.10655             ,0.10357             ,4194                ,3627                ,3908                ,0.03986             ,0.40881             ,-0.28693            ,0.14358             ,0.21222             ,0.14747             ,0.25604             ,0.65078             ,0.59197             ,0.39659             ,0.69638             ,0.58942             
3000                ,0.38975             ,0.41953             ,0.10654             ,0.10357             ,4194                ,3627                ,3908                ,0.03599             ,0.40408             ,-0.28407            ,0.14288             ,0.21165             ,0.14546             ,0.25293             ,0.64698             ,0.5907              ,0.397               ,0.69594             ,0.5859              
3050                ,0.38975             ,0.41958             ,0.10654             ,0.10357             ,4194                ,3627                ,3908                ,0.03229             ,0.39929             ,-0.28124            ,0.14227             ,0.21105             ,0.14348             ,0.24984             ,0.64323             ,0.5894              ,0.39735             ,0.69558             ,0.58255             
3100                ,0.38984             ,0.41958             ,0.10653             ,0.10357             ,4194                ,3627                ,3908                ,0.02876             ,0.39454             ,-0.27858            ,0.14159             ,0.21058             ,0.14175             ,0.24678             ,0.63945             ,0.58824             ,0.39778             ,0.69513             ,0.57916             
3150                ,0.38986             ,0.41956             ,0.10653             ,0.10357             ,4194                ,3627                ,3908                ,0.02544             ,0.38975             ,-0.27597            ,0.14052             ,0.21014             ,0.14032             ,0.24368             ,0.63575             ,0.58708             ,0.39802             ,0.69473             ,0.57596             
3200                ,0.38992             ,0.41963             ,0.10653             ,0.10356             ,4194                ,3627                ,3908                ,0.02229             ,0.38496             ,-0.27345            ,0.13919             ,0.20977             ,0.13906             ,0.24061             ,0.63207             ,0.58592             ,0.39814             ,0.69436             ,0.57296             
3250                ,0.38996             ,0.41965             ,0.10652             ,0.10356             ,4194                ,3627                ,3908                ,0.01926             ,0.38017             ,-0.27107            ,0.13793             ,0.20946             ,0.13793             ,0.23774             ,0.62855             ,0.58483             ,0.39829             ,0.694               ,0.57015             
3300                ,0.39                ,0.41967             ,0.10652             ,0.10356             ,4194                ,3627                ,3908                ,0.01647             ,0.3754              ,-0.26877            ,0.13677             ,0.20917             ,0.13694             ,0.2347              ,0.62505             ,0.58379             ,0.39837             ,0.69366             ,0.56739             
3350                ,0.38995             ,0.41971             ,0.10652             ,0.10355             ,4194                ,3627                ,3908                ,0.01379             ,0.37055             ,-0.26643            ,0.13574             ,0.20887             ,0.13586             ,0.23183             ,0.62157             ,0.58266             ,0.39842             ,0.69338             ,0.56474             
3400                ,0.39001             ,0.41958             ,0.10652             ,0.10357             ,4194                ,3627                ,3908                ,0.01124             ,0.36578             ,-0.2643             ,0.13459             ,0.20874             ,0.13506             ,0.22911             ,0.61804             ,0.58174             ,0.39864             ,0.69294             ,0.56197             
3450                ,0.39004             ,0.41959             ,0.10652             ,0.10357             ,4194                ,3627                ,3908                ,0.00887             ,0.36093             ,-0.26209            ,0.13359             ,0.20853             ,0.13423             ,0.22637             ,0.61462             ,0.58072             ,0.39875             ,0.69262             ,0.55937             
3500                ,0.39012             ,0.41969             ,0.10651             ,0.10356             ,4194                ,3627                ,3908                ,0.00667             ,0.35607             ,-0.2599             ,0.1327              ,0.20833             ,0.13345             ,0.22363             ,0.61128             ,0.57969             ,0.39882             ,0.69234             ,0.55687             
3550                ,0.39012             ,0.41981             ,0.10651             ,0.10355             ,4194                ,3627                ,3908                ,0.00467             ,0.35122             ,-0.25773            ,0.13197             ,0.20812             ,0.1327              ,0.22086             ,0.60802             ,0.57864             ,0.39882             ,0.69212             ,0.55447             
3600                ,0.39017             ,0.41982             ,0.1065              ,0.10354             ,4194                ,3627                ,3908                ,0.00279             ,0.34638             ,-0.25562            ,0.13121             ,0.20796             ,0.1321              ,0.21817             ,0.60477             ,0.57767             ,0.39895             ,0.69184             ,0.55205             
3650                ,0.39019             ,0.41975             ,0.1065              ,0.10355             ,4194                ,3627                ,3908                ,0.00104             ,0.34161             ,-0.25361            ,0.13041             ,0.2079              ,0.13159             ,0.21562             ,0.60155             ,0.57676             ,0.39914             ,0.69154             ,0.54969             
3700                ,0.39024             ,0.41983             ,0.1065              ,0.10354             ,4194                ,3627                ,3908                ,-0.0005             ,0.33681             ,-0.25159            ,0.12978             ,0.20776             ,0.13111             ,0.21293             ,0.59847             ,0.5758              ,0.39921             ,0.69133             ,0.54747             
3750                ,0.39021             ,0.4197              ,0.1065              ,0.10356             ,4194                ,3627                ,3908                ,-0.00194            ,0.33205             ,-0.24964            ,0.12909             ,0.20773             ,0.13073             ,0.21037             ,0.59531             ,0.57491             ,0.39939             ,0.69104             ,0.54518             
3800                ,0.39017             ,0.41984             ,0.1065              ,0.10354             ,4194                ,3627                ,3908                ,-0.00322            ,0.32719             ,-0.24756            ,0.12863             ,0.20754             ,0.13023             ,0.20773             ,0.59236             ,0.57388             ,0.3994              ,0.69093             ,0.54312             
3850                ,0.39029             ,0.4198              ,0.10649             ,0.10355             ,4194                ,3627                ,3908                ,-0.00439            ,0.3225              ,-0.24575            ,0.12803             ,0.20759             ,0.13                ,0.20525             ,0.58931             ,0.57308             ,0.3996              ,0.69062             ,0.54091             
3900                ,0.39034             ,0.41988             ,0.10649             ,0.10354             ,4194                ,3627                ,3908                ,-0.0054             ,0.31774             ,-0.24385            ,0.12762             ,0.20755             ,0.12968             ,0.20267             ,0.5864              ,0.57217             ,0.39966             ,0.69044             ,0.53885             
3950                ,0.39034             ,0.41985             ,0.10649             ,0.10354             ,4194                ,3627                ,3908                ,-0.00632            ,0.31303             ,-0.24202            ,0.1272              ,0.20756             ,0.12943             ,0.20022             ,0.58349             ,0.57132             ,0.39979             ,0.69023             ,0.53681             
4000                ,0.39038             ,0.41995             ,0.10649             ,0.10353             ,4194                ,3627                ,3908                ,-0.00712            ,0.30828             ,-0.24015            ,0.12686             ,0.2075              ,0.12917             ,0.19774             ,0.5807              ,0.57041             ,0.39986             ,0.69009             ,0.53487             
