epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI3_0:i,GNDI3_0:j,GNDI3_0:k,GNDI3_0:alpha1,GNDI3_0:alpha2
3500                ,0.52163             ,0.51719             ,0.09433             ,0.09446             ,354                 ,3962                ,226                 ,0.04907             ,0.24484             
3550                ,0.52167             ,0.51725             ,0.09433             ,0.09445             ,354                 ,3962                ,226                 ,0.0497              ,0.24553             
3600                ,0.5217              ,0.51731             ,0.09432             ,0.09445             ,354                 ,3962                ,226                 ,0.05005             ,0.24619             
3650                ,0.52174             ,0.51733             ,0.09432             ,0.09444             ,354                 ,3962                ,226                 ,0.05028             ,0.24686             
3700                ,0.52177             ,0.51735             ,0.09432             ,0.09444             ,354                 ,3962                ,226                 ,0.0505              ,0.24751             
3750                ,0.52179             ,0.51737             ,0.09431             ,0.09444             ,354                 ,3962                ,226                 ,0.05069             ,0.24813             
3800                ,0.52181             ,0.5174              ,0.09431             ,0.09444             ,354                 ,3962                ,226                 ,0.05076             ,0.24872             
3850                ,0.52183             ,0.51742             ,0.09431             ,0.09443             ,354                 ,3962                ,226                 ,0.05073             ,0.2493              
3900                ,0.52185             ,0.51744             ,0.09431             ,0.09443             ,354                 ,3962                ,226                 ,0.05064             ,0.24987             
3950                ,0.52187             ,0.51746             ,0.09431             ,0.09443             ,354                 ,3962                ,226                 ,0.05048             ,0.25043             
4000                ,0.52188             ,0.51749             ,0.0943              ,0.09443             ,354                 ,3962                ,226                 ,0.0503              ,0.25097             
