epoch,train_r2,validation_r2,train_rmse,validation_rmse,BI_0:i,BI_1:i,BI_2:i,DI_0:i,DI_0:j,DI_1:i,DI_1:j,DI_2:i,DI_2:j,NDI_0:i,NDI_0:j,NDI_1:i,NDI_1:j,NDI_2:i,NDI_2:j,SNDI_0:i,SNDI_0:j,SNDI_0:alpha,SNDI_1:i,SNDI_1:j,SNDI_1:alpha,SNDI_2:i,SNDI_2:j,SNDI_2:alpha,MNDI_0:i,MNDI_0:j,MNDI_0:k,MNDI_0:alpha,MNDI_1:i,MNDI_1:j,MNDI_1:k,MNDI_1:alpha,MNDI_2:i,MNDI_2:j,MNDI_2:k,MNDI_2:alpha
550                 ,0.81912             ,0.82033             ,0.058               ,0.05762             ,53                  ,2646                ,1396                ,2215                ,2021                ,3765                ,1180                ,2267                ,2643                ,2323                ,727                 ,4195                ,1019                ,1135                ,853                 ,2118                ,3246                ,0.10427             ,2691                ,2540                ,0.58721             ,1214                ,358                 ,0.23269             ,400                 ,2023                ,578                 ,0.70634             ,2320                ,2269                ,2642                ,0.48312             ,369                 ,1818                ,1424                ,0.24446             
600                 ,0.82094             ,0.82207             ,0.05771             ,0.05734             ,55                  ,2635                ,1398                ,2215                ,2021                ,3765                ,1212                ,2266                ,2633                ,2323                ,734                 ,4194                ,1037                ,1168                ,864                 ,2118                ,3214                ,0.10284             ,2691                ,2525                ,0.56757             ,1246                ,373                 ,0.22529             ,399                 ,2023                ,595                 ,0.69112             ,2321                ,2269                ,2638                ,0.47836             ,376                 ,1818                ,1445                ,0.23445             
650                 ,0.82241             ,0.82339             ,0.05747             ,0.05713             ,58                  ,2617                ,1399                ,2215                ,2021                ,3765                ,1251                ,2266                ,2631                ,2323                ,740                 ,4194                ,1050                ,1202                ,874                 ,2118                ,3179                ,0.10285             ,2691                ,2526                ,0.54905             ,1279                ,390                 ,0.21803             ,398                 ,2023                ,613                 ,0.67515             ,2321                ,2269                ,2638                ,0.47333             ,382                 ,1818                ,1466                ,0.22414             
700                 ,0.82395             ,0.82477             ,0.05722             ,0.05691             ,61                  ,2595                ,1394                ,2216                ,2021                ,3765                ,1291                ,2266                ,2629                ,2323                ,746                 ,4194                ,1062                ,1237                ,884                 ,2118                ,3147                ,0.10534             ,2691                ,2526                ,0.53227             ,1313                ,397                 ,0.21141             ,398                 ,2023                ,634                 ,0.65971             ,2321                ,2269                ,2638                ,0.46821             ,387                 ,1818                ,1487                ,0.2132              
750                 ,0.82548             ,0.8259              ,0.05698             ,0.05672             ,63                  ,2570                ,1392                ,2216                ,2021                ,3765                ,1340                ,2266                ,2618                ,2323                ,752                 ,4193                ,1075                ,1272                ,892                 ,2118                ,3125                ,0.10865             ,2691                ,2526                ,0.51767             ,1347                ,400                 ,0.20548             ,398                 ,2023                ,657                 ,0.64638             ,2321                ,2269                ,2633                ,0.46197             ,393                 ,1819                ,1507                ,0.20261             
800                 ,0.82684             ,0.82704             ,0.05675             ,0.05654             ,66                  ,2538                ,1396                ,2216                ,2021                ,3765                ,1392                ,2267                ,2619                ,2323                ,759                 ,4193                ,1090                ,1306                ,899                 ,2118                ,3125                ,0.11257             ,2691                ,2526                ,0.50363             ,1381                ,403                 ,0.19949             ,396                 ,2023                ,683                 ,0.63259             ,2321                ,2269                ,2625                ,0.45455             ,398                 ,1818                ,1528                ,0.19123             
850                 ,0.82874             ,0.82861             ,0.05644             ,0.05628             ,69                  ,2507                ,1399                ,2220                ,2022                ,3765                ,1442                ,2267                ,2619                ,2323                ,766                 ,4193                ,1105                ,1332                ,910                 ,2118                ,3125                ,0.11698             ,2692                ,2526                ,0.49491             ,1424                ,406                 ,0.19564             ,394                 ,2023                ,711                 ,0.62397             ,2320                ,2269                ,2615                ,0.44749             ,403                 ,1819                ,1548                ,0.18309             
900                 ,0.83052             ,0.83054             ,0.05615             ,0.05596             ,73                  ,2485                ,1399                ,2218                ,2022                ,3765                ,1459                ,2267                ,2618                ,2323                ,774                 ,4192                ,1120                ,1354                ,923                 ,2118                ,3125                ,0.122               ,2695                ,2526                ,0.48725             ,1455                ,409                 ,0.19149             ,393                 ,2023                ,741                 ,0.61675             ,2320                ,2270                ,2605                ,0.44056             ,408                 ,1819                ,1569                ,0.17458             
950                 ,0.83253             ,0.83217             ,0.05581             ,0.05569             ,76                  ,2469                ,1399                ,2218                ,2022                ,3765                ,1482                ,2266                ,2618                ,2323                ,782                 ,4192                ,1131                ,1375                ,940                 ,2118                ,3125                ,0.12833             ,2695                ,2526                ,0.47939             ,1485                ,412                 ,0.18721             ,394                 ,2023                ,771                 ,0.6108              ,2320                ,2270                ,2593                ,0.43303             ,413                 ,1818                ,1590                ,0.16573             
1000                ,0.83439             ,0.83393             ,0.0555              ,0.0554              ,79                  ,2460                ,1399                ,2218                ,2022                ,3765                ,1508                ,2266                ,2618                ,2323                ,791                 ,4192                ,1136                ,1396                ,958                 ,2118                ,3125                ,0.1359              ,2695                ,2526                ,0.47158             ,1518                ,415                 ,0.18355             ,394                 ,2022                ,800                 ,0.6061              ,2320                ,2270                ,2578                ,0.42458             ,419                 ,1818                ,1611                ,0.15665             
1050                ,0.83581             ,0.83543             ,0.05526             ,0.05515             ,83                  ,2451                ,1392                ,2214                ,2021                ,3765                ,1527                ,2263                ,2615                ,2323                ,804                 ,4191                ,1134                ,1384                ,975                 ,2126                ,3125                ,0.14329             ,2695                ,2526                ,0.46657             ,1546                ,419                 ,0.18089             ,393                 ,2022                ,832                 ,0.60183             ,2316                ,2269                ,2561                ,0.41589             ,425                 ,1813                ,1632                ,0.15133             
1100                ,0.83736             ,0.83746             ,0.055               ,0.05481             ,86                  ,2450                ,1399                ,2214                ,2020                ,3765                ,1534                ,2261                ,2589                ,2323                ,819                 ,4191                ,1134                ,1386                ,990                 ,2127                ,3125                ,0.14957             ,2696                ,2526                ,0.46197             ,1575                ,422                 ,0.17781             ,394                 ,2022                ,856                 ,0.59836             ,2315                ,2270                ,2541                ,0.40849             ,432                 ,1798                ,1653                ,0.1476              
1150                ,0.83897             ,0.83934             ,0.05473             ,0.05449             ,90                  ,2450                ,1399                ,2214                ,2020                ,3765                ,1543                ,2261                ,2560                ,2323                ,835                 ,4190                ,1137                ,1392                ,1004                ,2127                ,3125                ,0.15651             ,2696                ,2526                ,0.45698             ,1605                ,425                 ,0.17496             ,394                 ,2022                ,883                 ,0.59593             ,2314                ,2269                ,2524                ,0.40088             ,440                 ,1782                ,1673                ,0.14498             
1200                ,0.84063             ,0.84115             ,0.05445             ,0.05418             ,94                  ,2450                ,1399                ,2214                ,2020                ,3765                ,1552                ,2261                ,2529                ,2323                ,852                 ,4190                ,1137                ,1395                ,1017                ,2127                ,3125                ,0.16463             ,2696                ,2526                ,0.45181             ,1634                ,429                 ,0.17123             ,394                 ,2022                ,904                 ,0.59386             ,2314                ,2269                ,2511                ,0.39344             ,450                 ,1766                ,1693                ,0.14353             
1250                ,0.84229             ,0.84297             ,0.05416             ,0.05387             ,98                  ,2450                ,1399                ,2214                ,2020                ,3765                ,1559                ,2261                ,2523                ,2323                ,868                 ,4189                ,1137                ,1394                ,1029                ,2127                ,3125                ,0.17348             ,2696                ,2526                ,0.4465              ,1663                ,433                 ,0.16654             ,394                 ,2022                ,920                 ,0.5924              ,2314                ,2269                ,2497                ,0.38636             ,460                 ,1749                ,1712                ,0.14339             
1300                ,0.8438              ,0.84464             ,0.0539              ,0.05358             ,102                 ,2450                ,1399                ,2214                ,2020                ,3765                ,1564                ,2261                ,2523                ,2323                ,884                 ,4189                ,1137                ,1394                ,1042                ,2128                ,3125                ,0.1835              ,2696                ,2528                ,0.44142             ,1691                ,437                 ,0.16106             ,394                 ,2022                ,932                 ,0.58999             ,2310                ,2270                ,2479                ,0.3786              ,470                 ,1705                ,1731                ,0.14389             
1350                ,0.84538             ,0.84639             ,0.05363             ,0.05328             ,107                 ,2450                ,1399                ,2214                ,2020                ,3764                ,1568                ,2261                ,2523                ,2323                ,902                 ,4188                ,1137                ,1394                ,1056                ,2128                ,3125                ,0.19471             ,2696                ,2528                ,0.43603             ,1720                ,440                 ,0.15492             ,394                 ,2022                ,942                 ,0.58782             ,2293                ,2270                ,2455                ,0.37071             ,481                 ,1706                ,1735                ,0.14627             
1400                ,0.8468              ,0.84791             ,0.05338             ,0.05301             ,111                 ,2450                ,1389                ,2214                ,2020                ,3764                ,1567                ,2261                ,2523                ,2323                ,923                 ,4188                ,1137                ,1395                ,1070                ,2137                ,3125                ,0.20422             ,2696                ,2528                ,0.4317              ,1763                ,445                 ,0.14916             ,394                 ,2022                ,953                 ,0.586               ,2269                ,2270                ,2432                ,0.36269             ,491                 ,1705                ,1735                ,0.14889             
1450                ,0.84815             ,0.84922             ,0.05315             ,0.05279             ,116                 ,2450                ,1396                ,2214                ,2020                ,3763                ,1567                ,2262                ,2523                ,2323                ,946                 ,4187                ,1137                ,1395                ,1084                ,2138                ,3125                ,0.2132              ,2696                ,2528                ,0.42756             ,1768                ,449                 ,0.14288             ,395                 ,2022                ,964                 ,0.58427             ,2234                ,2270                ,2409                ,0.35502             ,499                 ,1705                ,1735                ,0.15163             
1500                ,0.84893             ,0.85016             ,0.05301             ,0.05262             ,121                 ,2450                ,1383                ,2210                ,2021                ,3762                ,1567                ,2262                ,2522                ,2323                ,967                 ,4187                ,1137                ,1395                ,1097                ,2143                ,3125                ,0.22217             ,2694                ,2529                ,0.42382             ,1769                ,453                 ,0.13666             ,396                 ,2021                ,977                 ,0.5825              ,2200                ,2270                ,2388                ,0.34729             ,505                 ,1705                ,1735                ,0.15488             
1550                ,0.85041             ,0.85181             ,0.05275             ,0.05233             ,126                 ,2450                ,1382                ,2221                ,2020                ,3761                ,1567                ,2262                ,2523                ,2323                ,988                 ,4186                ,1137                ,1395                ,1108                ,2141                ,3125                ,0.22934             ,2696                ,2528                ,0.42058             ,1771                ,458                 ,0.13114             ,396                 ,2020                ,989                 ,0.58084             ,2168                ,2270                ,2369                ,0.34026             ,510                 ,1705                ,1735                ,0.15796             
1600                ,0.85146             ,0.85295             ,0.05256             ,0.05213             ,131                 ,2450                ,1385                ,2221                ,2020                ,3761                ,1567                ,2262                ,2522                ,2323                ,1007                ,4186                ,1137                ,1395                ,1118                ,2141                ,3125                ,0.23664             ,2696                ,2528                ,0.41722             ,1772                ,463                 ,0.12542             ,397                 ,2020                ,1002                ,0.57917             ,2136                ,2270                ,2350                ,0.33325             ,513                 ,1705                ,1735                ,0.16126             
1650                ,0.85244             ,0.85392             ,0.05239             ,0.05196             ,136                 ,2450                ,1386                ,2221                ,2020                ,3761                ,1567                ,2262                ,2522                ,2323                ,1024                ,4185                ,1137                ,1395                ,1126                ,2141                ,3125                ,0.24443             ,2696                ,2528                ,0.41391             ,1773                ,468                 ,0.11955             ,398                 ,2020                ,1016                ,0.57753             ,2128                ,2270                ,2333                ,0.32544             ,515                 ,1705                ,1735                ,0.16482             
1700                ,0.85348             ,0.85509             ,0.05221             ,0.05175             ,142                 ,2450                ,1389                ,2221                ,2020                ,3760                ,1567                ,2262                ,2520                ,2323                ,1040                ,4184                ,1137                ,1395                ,1136                ,2141                ,3125                ,0.2527              ,2696                ,2528                ,0.41054             ,1775                ,473                 ,0.11398             ,398                 ,2020                ,1035                ,0.57592             ,2128                ,2270                ,2318                ,0.31806             ,515                 ,1705                ,1735                ,0.16891             
1750                ,0.85455             ,0.85648             ,0.05201             ,0.0515              ,148                 ,2450                ,1391                ,2221                ,2020                ,3760                ,1567                ,2262                ,2520                ,2323                ,1054                ,4183                ,1137                ,1395                ,1137                ,2141                ,3125                ,0.2612              ,2696                ,2528                ,0.40709             ,1776                ,479                 ,0.10789             ,399                 ,2020                ,1056                ,0.57449             ,2128                ,2270                ,2303                ,0.31029             ,514                 ,1705                ,1735                ,0.17323             
1800                ,0.85552             ,0.85747             ,0.05184             ,0.05132             ,154                 ,2450                ,1394                ,2221                ,2020                ,3760                ,1567                ,2262                ,2520                ,2323                ,1069                ,4183                ,1137                ,1395                ,1137                ,2141                ,3125                ,0.26953             ,2696                ,2528                ,0.40385             ,1778                ,484                 ,0.10217             ,399                 ,2020                ,1079                ,0.5732              ,2129                ,2270                ,2289                ,0.30186             ,513                 ,1705                ,1735                ,0.17745             
1850                ,0.85586             ,0.85797             ,0.05178             ,0.05123             ,160                 ,2451                ,1397                ,2221                ,2020                ,3759                ,1567                ,2262                ,2519                ,2323                ,1084                ,4182                ,1138                ,1395                ,1138                ,2150                ,3125                ,0.27782             ,2696                ,2528                ,0.40056             ,1779                ,490                 ,0.09589             ,401                 ,2020                ,1100                ,0.57177             ,2129                ,2270                ,2275                ,0.29446             ,513                 ,1705                ,1735                ,0.18204             
1900                ,0.85728             ,0.85935             ,0.05152             ,0.05098             ,166                 ,2450                ,1397                ,2215                ,2020                ,3759                ,1567                ,2262                ,2520                ,2323                ,1099                ,4181                ,1138                ,1397                ,1138                ,2141                ,3125                ,0.28534             ,2696                ,2528                ,0.39778             ,1781                ,497                 ,0.08973             ,402                 ,2020                ,1120                ,0.5704              ,2128                ,2270                ,2259                ,0.28718             ,512                 ,1705                ,1735                ,0.18643             
1950                ,0.85816             ,0.86034             ,0.05136             ,0.0508              ,172                 ,2451                ,1397                ,2216                ,2020                ,3759                ,1567                ,2262                ,2520                ,2323                ,1115                ,4180                ,1150                ,1397                ,1139                ,2141                ,3125                ,0.293               ,2696                ,2528                ,0.39488             ,1782                ,504                 ,0.08388             ,402                 ,2020                ,1147                ,0.56911             ,2129                ,2270                ,2242                ,0.28033             ,509                 ,1705                ,1735                ,0.19104             
2000                ,0.85903             ,0.86134             ,0.05121             ,0.05062             ,178                 ,2451                ,1397                ,2215                ,2020                ,3759                ,1567                ,2262                ,2520                ,2323                ,1127                ,4179                ,1176                ,1397                ,1152                ,2141                ,3125                ,0.3004              ,2696                ,2528                ,0.39201             ,1784                ,511                 ,0.07861             ,402                 ,2020                ,1177                ,0.56772             ,2129                ,2270                ,2226                ,0.27405             ,509                 ,1705                ,1735                ,0.19588             
2050                ,0.85972             ,0.86207             ,0.05108             ,0.05049             ,185                 ,2451                ,1397                ,2216                ,2020                ,3759                ,1567                ,2262                ,2520                ,2323                ,1138                ,4178                ,1203                ,1397                ,1166                ,2135                ,3125                ,0.30727             ,2696                ,2528                ,0.38934             ,1786                ,518                 ,0.07416             ,402                 ,2020                ,1205                ,0.56689             ,2129                ,2270                ,2212                ,0.268               ,509                 ,1705                ,1735                ,0.20072             
2100                ,0.86059             ,0.86279             ,0.05092             ,0.05035             ,191                 ,2451                ,1397                ,2213                ,2020                ,3758                ,1567                ,2262                ,2520                ,2323                ,1137                ,4177                ,1229                ,1397                ,1179                ,2134                ,3125                ,0.31374             ,2696                ,2528                ,0.38686             ,1787                ,526                 ,0.06988             ,403                 ,2020                ,1232                ,0.56633             ,2129                ,2270                ,2201                ,0.26173             ,508                 ,1705                ,1735                ,0.20545             
2150                ,0.86095             ,0.863               ,0.05086             ,0.05032             ,198                 ,2451                ,1397                ,2213                ,2020                ,3758                ,1567                ,2267                ,2519                ,2322                ,1137                ,4176                ,1255                ,1397                ,1193                ,2142                ,3125                ,0.32029             ,2696                ,2528                ,0.38441             ,1789                ,534                 ,0.06598             ,403                 ,2020                ,1259                ,0.56575             ,2129                ,2270                ,2190                ,0.25525             ,505                 ,1705                ,1735                ,0.21059             
2200                ,0.86212             ,0.86407             ,0.05064             ,0.05012             ,204                 ,2451                ,1397                ,2213                ,2020                ,3758                ,1567                ,2267                ,2519                ,2323                ,1137                ,4175                ,1280                ,1397                ,1206                ,2141                ,3125                ,0.326               ,2696                ,2528                ,0.38207             ,1791                ,542                 ,0.06299             ,405                 ,2020                ,1284                ,0.56535             ,2132                ,2270                ,2179                ,0.24961             ,503                 ,1704                ,1735                ,0.21584             
2250                ,0.86244             ,0.8646              ,0.05058             ,0.05002             ,211                 ,2451                ,1397                ,2213                ,2020                ,3757                ,1567                ,2267                ,2510                ,2323                ,1137                ,4174                ,1307                ,1397                ,1220                ,2141                ,3125                ,0.33183             ,2696                ,2528                ,0.37969             ,1793                ,551                 ,0.05992             ,407                 ,2020                ,1309                ,0.56507             ,2132                ,2270                ,2164                ,0.24363             ,503                 ,1704                ,1735                ,0.22131             
2300                ,0.86325             ,0.86522             ,0.05043             ,0.04991             ,217                 ,2451                ,1397                ,2214                ,2020                ,3756                ,1567                ,2266                ,2483                ,2323                ,1137                ,4173                ,1333                ,1397                ,1234                ,2141                ,3125                ,0.33751             ,2696                ,2528                ,0.37729             ,1794                ,559                 ,0.05887             ,408                 ,2020                ,1332                ,0.56491             ,2132                ,2270                ,2150                ,0.23788             ,503                 ,1704                ,1735                ,0.22668             
2350                ,0.86327             ,0.86491             ,0.05043             ,0.04996             ,224                 ,2451                ,1397                ,2213                ,2020                ,3756                ,1567                ,2266                ,2428                ,2323                ,1137                ,4172                ,1360                ,1397                ,1249                ,2141                ,3125                ,0.34313             ,2696                ,2528                ,0.37489             ,1796                ,568                 ,0.05803             ,408                 ,2020                ,1352                ,0.56457             ,2134                ,2270                ,2141                ,0.23268             ,503                 ,1705                ,1732                ,0.23225             
2400                ,0.86437             ,0.86592             ,0.05023             ,0.04978             ,230                 ,2451                ,1397                ,2213                ,2020                ,3756                ,1567                ,2266                ,2378                ,2323                ,1137                ,4171                ,1386                ,1397                ,1264                ,2141                ,3125                ,0.34839             ,2696                ,2528                ,0.37273             ,1798                ,578                 ,0.05743             ,409                 ,2020                ,1372                ,0.56434             ,2134                ,2270                ,2137                ,0.22838             ,500                 ,1704                ,1733                ,0.23784             
2450                ,0.86482             ,0.86632             ,0.05014             ,0.0497              ,237                 ,2451                ,1397                ,2214                ,2020                ,3756                ,1567                ,2267                ,2339                ,2323                ,1137                ,4169                ,1398                ,1397                ,1279                ,2132                ,3125                ,0.3533              ,2696                ,2528                ,0.37073             ,1800                ,587                 ,0.05828             ,410                 ,2020                ,1393                ,0.56422             ,2134                ,2270                ,2136                ,0.22377             ,497                 ,1704                ,1733                ,0.24326             
2500                ,0.86533             ,0.8667              ,0.05005             ,0.04963             ,244                 ,2451                ,1397                ,2213                ,2020                ,3756                ,1567                ,2267                ,2327                ,2323                ,1137                ,4168                ,1398                ,1389                ,1296                ,2138                ,3125                ,0.35771             ,2695                ,2528                ,0.36892             ,1802                ,597                 ,0.05845             ,412                 ,2020                ,1397                ,0.56433             ,2135                ,2270                ,2137                ,0.21959             ,495                 ,1704                ,1733                ,0.2482              
2550                ,0.86602             ,0.86707             ,0.04992             ,0.04956             ,251                 ,2451                ,1397                ,2211                ,2020                ,3756                ,1567                ,2267                ,2327                ,2323                ,1137                ,4167                ,1398                ,1397                ,1311                ,2138                ,3125                ,0.36222             ,2696                ,2528                ,0.36709             ,1804                ,607                 ,0.0582              ,413                 ,2020                ,1397                ,0.56398             ,2134                ,2270                ,2136                ,0.21541             ,493                 ,1704                ,1733                ,0.25303             
2600                ,0.86672             ,0.86754             ,0.04979             ,0.04948             ,259                 ,2450                ,1397                ,2212                ,2022                ,3756                ,1567                ,2286                ,2321                ,2323                ,1137                ,4165                ,1414                ,1388                ,1327                ,2142                ,3125                ,0.36647             ,2697                ,2529                ,0.36563             ,1806                ,618                 ,0.05957             ,413                 ,2018                ,1392                ,0.564               ,2139                ,2281                ,2137                ,0.21233             ,491                 ,1705                ,1733                ,0.2574              
2650                ,0.86702             ,0.8677              ,0.04973             ,0.04945             ,266                 ,2451                ,1397                ,2211                ,2020                ,3756                ,1567                ,2251                ,2322                ,2323                ,1137                ,4164                ,1425                ,1391                ,1342                ,2143                ,3125                ,0.36977             ,2704                ,2528                ,0.36451             ,1808                ,628                 ,0.06036             ,414                 ,2020                ,1378                ,0.56366             ,2148                ,2269                ,2136                ,0.21029             ,491                 ,1704                ,1733                ,0.26081             
2700                ,0.86774             ,0.86835             ,0.0496              ,0.04932             ,274                 ,2451                ,1397                ,2211                ,2020                ,3756                ,1567                ,2269                ,2322                ,2322                ,1137                ,4162                ,1425                ,1399                ,1356                ,2143                ,3125                ,0.37281             ,2701                ,2528                ,0.36321             ,1811                ,639                 ,0.05989             ,416                 ,2020                ,1381                ,0.56296             ,2134                ,2270                ,2136                ,0.20807             ,490                 ,1704                ,1734                ,0.26418             
2750                ,0.86815             ,0.8687              ,0.04952             ,0.04926             ,282                 ,2451                ,1397                ,2211                ,2020                ,3756                ,1567                ,2270                ,2322                ,2322                ,1137                ,4161                ,1425                ,1399                ,1372                ,2141                ,3126                ,0.37565             ,2701                ,2528                ,0.36195             ,1813                ,650                 ,0.05999             ,416                 ,2020                ,1386                ,0.56241             ,2134                ,2270                ,2136                ,0.20596             ,490                 ,1704                ,1734                ,0.26759             
2800                ,0.86876             ,0.86934             ,0.04941             ,0.04914             ,290                 ,2451                ,1397                ,2212                ,2020                ,3756                ,1567                ,2270                ,2322                ,2322                ,1137                ,4159                ,1425                ,1399                ,1387                ,2141                ,3133                ,0.3785              ,2701                ,2528                ,0.3607              ,1815                ,661                 ,0.06013             ,416                 ,2020                ,1392                ,0.56204             ,2134                ,2270                ,2137                ,0.20389             ,488                 ,1704                ,1735                ,0.27103             
2850                ,0.86946             ,0.87024             ,0.04928             ,0.04897             ,299                 ,2451                ,1397                ,2212                ,2020                ,3756                ,1567                ,2270                ,2323                ,2322                ,1137                ,4157                ,1425                ,1399                ,1402                ,2141                ,3144                ,0.38183             ,2701                ,2528                ,0.3594              ,1817                ,673                 ,0.06016             ,418                 ,2020                ,1397                ,0.56164             ,2134                ,2270                ,2137                ,0.20151             ,487                 ,1704                ,1735                ,0.27433             
2900                ,0.86992             ,0.87082             ,0.04919             ,0.04886             ,309                 ,2451                ,1397                ,2212                ,2020                ,3755                ,1567                ,2270                ,2323                ,2323                ,1137                ,4155                ,1425                ,1399                ,1421                ,2141                ,3146                ,0.38542             ,2701                ,2528                ,0.35798             ,1819                ,685                 ,0.05982             ,422                 ,2020                ,1397                ,0.5612              ,2134                ,2270                ,2137                ,0.19902             ,487                 ,1704                ,1735                ,0.27787             
2950                ,0.8703              ,0.87128             ,0.04912             ,0.04877             ,319                 ,2451                ,1397                ,2211                ,2020                ,3753                ,1567                ,2270                ,2323                ,2323                ,1137                ,4153                ,1425                ,1398                ,1435                ,2141                ,3146                ,0.38903             ,2701                ,2528                ,0.35653             ,1822                ,697                 ,0.05993             ,425                 ,2020                ,1397                ,0.56097             ,2134                ,2270                ,2137                ,0.19654             ,487                 ,1704                ,1735                ,0.28154             
