epoch,train_r2,validation_r2,train_rmse,validation_rmse,BI_0:i,BI_1:i,BI_2:i,DI_0:i,DI_0:j,DI_1:i,DI_1:j,DI_2:i,DI_2:j,NDI_0:i,NDI_0:j,NDI_1:i,NDI_1:j,NDI_2:i,NDI_2:j,SNDI_0:i,SNDI_0:j,SNDI_0:alpha,SNDI_1:i,SNDI_1:j,SNDI_1:alpha,SNDI_2:i,SNDI_2:j,SNDI_2:alpha,MNDI_0:i,MNDI_0:j,MNDI_0:k,MNDI_0:alpha,MNDI_1:i,MNDI_1:j,MNDI_1:k,MNDI_1:alpha,MNDI_2:i,MNDI_2:j,MNDI_2:k,MNDI_2:alpha
1150                ,0.86859             ,0.86911             ,0.04944             ,0.04918             ,1264                ,2137                ,2141                ,1895                ,1877                ,1253                ,3665                ,2141                ,1734                ,3136                ,393                 ,1055                ,3014                ,1016                ,129                 ,2138                ,2975                ,0.51061             ,667                 ,3723                ,0.52044             ,2017                ,3406                ,0.63905             ,2529                ,2482                ,3750                ,0.88877             ,1450                ,1883                ,3614                ,0.50791             ,458                 ,123                 ,591                 ,0.49723             
1200                ,0.86944             ,0.86986             ,0.04928             ,0.04904             ,1296                ,2137                ,2141                ,1917                ,1894                ,1286                ,3645                ,2141                ,1750                ,3136                ,394                 ,1079                ,3014                ,1029                ,134                 ,2138                ,2975                ,0.50622             ,667                 ,3721                ,0.51458             ,2017                ,3406                ,0.64035             ,2529                ,2482                ,3750                ,0.88819             ,1450                ,1884                ,3613                ,0.50831             ,458                 ,123                 ,591                 ,0.49723             
1250                ,0.87027             ,0.87032             ,0.04912             ,0.04895             ,1327                ,2137                ,2141                ,1934                ,1909                ,1319                ,3621                ,2141                ,1766                ,3136                ,395                 ,1103                ,3014                ,1041                ,140                 ,2138                ,2975                ,0.50306             ,667                 ,3719                ,0.50879             ,2017                ,3406                ,0.64096             ,2529                ,2482                ,3750                ,0.88733             ,1450                ,1884                ,3613                ,0.50889             ,458                 ,123                 ,591                 ,0.49723             
1300                ,0.87099             ,0.87109             ,0.04899             ,0.04881             ,1359                ,2137                ,2141                ,1951                ,1925                ,1349                ,3602                ,2141                ,1780                ,3137                ,395                 ,1128                ,3013                ,1054                ,145                 ,2138                ,2975                ,0.50086             ,667                 ,3718                ,0.50355             ,2016                ,3406                ,0.64091             ,2529                ,2482                ,3750                ,0.88667             ,1450                ,1884                ,3613                ,0.50855             ,458                 ,123                 ,591                 ,0.49724             
1350                ,0.87188             ,0.87171             ,0.04882             ,0.04869             ,1391                ,2137                ,2141                ,1997                ,1930                ,1379                ,3589                ,2141                ,1794                ,3137                ,395                 ,1153                ,3013                ,1068                ,151                 ,2138                ,2975                ,0.49875             ,667                 ,3718                ,0.49825             ,2014                ,3406                ,0.64081             ,2529                ,2482                ,3749                ,0.88608             ,1450                ,1883                ,3613                ,0.50834             ,458                 ,123                 ,591                 ,0.49724             
1400                ,0.87242             ,0.87205             ,0.04871             ,0.04863             ,1429                ,2137                ,2141                ,1993                ,1930                ,1392                ,3576                ,2141                ,1806                ,3137                ,395                 ,1178                ,3013                ,1081                ,157                 ,2138                ,2975                ,0.49722             ,667                 ,3717                ,0.49276             ,2014                ,3406                ,0.64016             ,2529                ,2482                ,3749                ,0.88545             ,1450                ,1884                ,3613                ,0.50833             ,458                 ,123                 ,591                 ,0.49724             
1450                ,0.87289             ,0.87262             ,0.04862             ,0.04852             ,1455                ,2137                ,2141                ,1993                ,1930                ,1399                ,3560                ,2141                ,1817                ,3137                ,395                 ,1202                ,3012                ,1094                ,163                 ,2138                ,2975                ,0.49586             ,668                 ,3715                ,0.48765             ,2015                ,3406                ,0.63963             ,2528                ,2482                ,3747                ,0.88587             ,1450                ,1884                ,3613                ,0.5074              ,458                 ,123                 ,591                 ,0.49724             
1500                ,0.87322             ,0.87287             ,0.04856             ,0.04847             ,1481                ,2137                ,2141                ,1993                ,1926                ,1399                ,3542                ,2141                ,1818                ,3137                ,395                 ,1225                ,3012                ,1107                ,170                 ,2138                ,2975                ,0.49483             ,671                 ,3709                ,0.4825              ,2015                ,3406                ,0.63872             ,2529                ,2482                ,3747                ,0.88589             ,1450                ,1884                ,3613                ,0.50761             ,458                 ,123                 ,591                 ,0.49725             
1550                ,0.8735              ,0.87295             ,0.04851             ,0.04845             ,1507                ,2137                ,2141                ,1993                ,1925                ,1399                ,3520                ,2141                ,1818                ,3137                ,395                 ,1248                ,3012                ,1120                ,177                 ,2138                ,2975                ,0.49426             ,673                 ,3699                ,0.47715             ,2015                ,3406                ,0.6375              ,2528                ,2482                ,3747                ,0.88615             ,1450                ,1883                ,3613                ,0.50791             ,458                 ,123                 ,591                 ,0.49725             
1600                ,0.87394             ,0.87339             ,0.04842             ,0.04837             ,1532                ,2137                ,2141                ,1993                ,1925                ,1416                ,3497                ,2141                ,1818                ,3137                ,395                 ,1270                ,3011                ,1134                ,184                 ,2138                ,2975                ,0.49385             ,677                 ,3679                ,0.47166             ,2015                ,3406                ,0.63615             ,2529                ,2482                ,3747                ,0.88704             ,1450                ,1884                ,3613                ,0.50871             ,458                 ,123                 ,591                 ,0.49725             
1650                ,0.87469             ,0.87412             ,0.04828             ,0.04823             ,1557                ,2136                ,2141                ,1998                ,1925                ,1442                ,3470                ,2141                ,1818                ,3138                ,395                 ,1292                ,3011                ,1148                ,191                 ,2138                ,2975                ,0.49362             ,676                 ,3651                ,0.46608             ,2015                ,3406                ,0.63447             ,2528                ,2482                ,3748                ,0.88824             ,1450                ,1884                ,3613                ,0.50946             ,458                 ,123                 ,591                 ,0.49726             
1700                ,0.87542             ,0.87452             ,0.04814             ,0.04815             ,1580                ,2136                ,2141                ,1998                ,1925                ,1467                ,3444                ,2141                ,1818                ,3138                ,395                 ,1315                ,3011                ,1162                ,199                 ,2138                ,2975                ,0.49359             ,676                 ,3638                ,0.46057             ,2015                ,3406                ,0.63259             ,2504                ,2482                ,3748                ,0.8914              ,1450                ,1884                ,3613                ,0.50992             ,458                 ,123                 ,591                 ,0.49726             
1750                ,0.87605             ,0.87507             ,0.04802             ,0.04805             ,1603                ,2136                ,2141                ,1998                ,1925                ,1494                ,3421                ,2141                ,1818                ,3138                ,396                 ,1335                ,3011                ,1176                ,207                 ,2138                ,2975                ,0.49315             ,677                 ,3638                ,0.45532             ,2015                ,3406                ,0.63094             ,2478                ,2482                ,3747                ,0.89454             ,1450                ,1884                ,3613                ,0.51085             ,458                 ,123                 ,591                 ,0.49726             
1800                ,0.87634             ,0.87526             ,0.04796             ,0.04801             ,1625                ,2136                ,2141                ,1998                ,1925                ,1520                ,3400                ,2141                ,1818                ,3138                ,398                 ,1354                ,3010                ,1190                ,215                 ,2138                ,2975                ,0.49235             ,683                 ,3635                ,0.45071             ,2015                ,3406                ,0.62949             ,2450                ,2482                ,3747                ,0.89647             ,1450                ,1884                ,3613                ,0.51243             ,458                 ,123                 ,591                 ,0.49727             
1850                ,0.87657             ,0.87552             ,0.04791             ,0.04796             ,1648                ,2136                ,2141                ,1998                ,1925                ,1545                ,3384                ,2141                ,1818                ,3138                ,401                 ,1372                ,3010                ,1205                ,224                 ,2138                ,2975                ,0.49144             ,690                 ,3635                ,0.44613             ,2015                ,3406                ,0.62818             ,2438                ,2482                ,3747                ,0.89762             ,1450                ,1884                ,3613                ,0.51314             ,458                 ,123                 ,591                 ,0.49727             
1900                ,0.87664             ,0.87556             ,0.0479              ,0.04795             ,1672                ,2136                ,2141                ,1998                ,1925                ,1568                ,3373                ,2141                ,1818                ,3139                ,403                 ,1389                ,3010                ,1220                ,233                 ,2138                ,2975                ,0.49081             ,697                 ,3633                ,0.44175             ,2015                ,3406                ,0.62673             ,2439                ,2482                ,3747                ,0.89779             ,1450                ,1884                ,3613                ,0.51278             ,458                 ,123                 ,591                 ,0.49727             
1950                ,0.87687             ,0.87554             ,0.04786             ,0.04796             ,1694                ,2136                ,2141                ,1998                ,1925                ,1589                ,3366                ,2135                ,1818                ,3139                ,403                 ,1394                ,3009                ,1235                ,242                 ,2138                ,2975                ,0.49043             ,705                 ,3632                ,0.43757             ,2017                ,3406                ,0.6253              ,2439                ,2482                ,3747                ,0.89773             ,1450                ,1884                ,3613                ,0.51249             ,458                 ,123                 ,591                 ,0.49727             
2000                ,0.87698             ,0.87559             ,0.04784             ,0.04795             ,1714                ,2136                ,2141                ,1998                ,1925                ,1609                ,3363                ,2133                ,1818                ,3139                ,406                 ,1394                ,3009                ,1250                ,251                 ,2138                ,2975                ,0.49001             ,713                 ,3630                ,0.43352             ,2017                ,3406                ,0.62407             ,2439                ,2482                ,3747                ,0.89772             ,1450                ,1884                ,3613                ,0.51202             ,458                 ,123                 ,591                 ,0.49728             
2050                ,0.87724             ,0.87539             ,0.04779             ,0.04799             ,1735                ,2144                ,2142                ,1996                ,1925                ,1628                ,3363                ,2136                ,1818                ,3139                ,408                 ,1380                ,3009                ,1266                ,261                 ,2133                ,2977                ,0.49002             ,721                 ,3628                ,0.42992             ,2017                ,3418                ,0.623               ,2439                ,2482                ,3747                ,0.89753             ,1450                ,1884                ,3613                ,0.5112              ,458                 ,123                 ,591                 ,0.49728             
2100                ,0.87743             ,0.87561             ,0.04775             ,0.04794             ,1754                ,2132                ,2135                ,2006                ,1925                ,1650                ,3364                ,2141                ,1818                ,3139                ,409                 ,1382                ,3009                ,1281                ,272                 ,2132                ,2976                ,0.48965             ,728                 ,3625                ,0.42715             ,2017                ,3421                ,0.62253             ,2438                ,2482                ,3747                ,0.89742             ,1450                ,1884                ,3613                ,0.51069             ,458                 ,123                 ,591                 ,0.49728             
2150                ,0.87759             ,0.87562             ,0.04772             ,0.04794             ,1772                ,2132                ,2134                ,2006                ,1925                ,1673                ,3364                ,2141                ,1818                ,3139                ,411                 ,1387                ,3008                ,1296                ,283                 ,2132                ,2977                ,0.48951             ,737                 ,3607                ,0.42434             ,2017                ,3421                ,0.62177             ,2438                ,2482                ,3747                ,0.8972              ,1450                ,1884                ,3613                ,0.50968             ,458                 ,123                 ,591                 ,0.49729             
2200                ,0.87825             ,0.87629             ,0.04759             ,0.04781             ,1792                ,2132                ,2133                ,2005                ,1925                ,1694                ,3364                ,2141                ,1818                ,3139                ,414                 ,1392                ,3008                ,1311                ,295                 ,2132                ,2977                ,0.48928             ,748                 ,3551                ,0.4217              ,2017                ,3421                ,0.6209              ,2438                ,2482                ,3747                ,0.897               ,1450                ,1884                ,3612                ,0.50902             ,458                 ,123                 ,591                 ,0.49729             
2250                ,0.87898             ,0.87683             ,0.04745             ,0.04771             ,1811                ,2132                ,2134                ,2005                ,1925                ,1715                ,3364                ,2141                ,1818                ,3139                ,417                 ,1397                ,3008                ,1326                ,307                 ,2132                ,2975                ,0.48857             ,759                 ,3494                ,0.41959             ,2017                ,3421                ,0.62036             ,2438                ,2482                ,3747                ,0.89689             ,1450                ,1884                ,3612                ,0.50864             ,458                 ,123                 ,591                 ,0.49729             
2300                ,0.87929             ,0.877               ,0.04738             ,0.04768             ,1828                ,2132                ,2134                ,2005                ,1925                ,1735                ,3364                ,2141                ,1818                ,3139                ,421                 ,1397                ,3008                ,1341                ,320                 ,2132                ,2975                ,0.48727             ,772                 ,3450                ,0.4191              ,2017                ,3421                ,0.62023             ,2438                ,2482                ,3747                ,0.8968              ,1450                ,1884                ,3612                ,0.50862             ,458                 ,123                 ,591                 ,0.4973              
2350                ,0.87937             ,0.877               ,0.04737             ,0.04768             ,1845                ,2132                ,2134                ,2005                ,1925                ,1755                ,3364                ,2141                ,1818                ,3139                ,426                 ,1397                ,3007                ,1355                ,333                 ,2132                ,2974                ,0.48633             ,786                 ,3422                ,0.41797             ,2017                ,3421                ,0.61974             ,2438                ,2482                ,3747                ,0.89698             ,1450                ,1884                ,3612                ,0.50893             ,458                 ,123                 ,591                 ,0.4973              
2400                ,0.87943             ,0.87709             ,0.04736             ,0.04766             ,1859                ,2132                ,2134                ,2005                ,1925                ,1774                ,3364                ,2141                ,1818                ,3139                ,432                 ,1397                ,3007                ,1369                ,346                 ,2132                ,2975                ,0.48566             ,801                 ,3400                ,0.41668             ,2017                ,3421                ,0.61898             ,2438                ,2482                ,3747                ,0.89717             ,1450                ,1884                ,3612                ,0.50912             ,458                 ,123                 ,591                 ,0.49731             
2450                ,0.87945             ,0.87713             ,0.04735             ,0.04765             ,1871                ,2132                ,2134                ,2005                ,1925                ,1793                ,3364                ,2141                ,1818                ,3139                ,438                 ,1397                ,3006                ,1383                ,360                 ,2132                ,2975                ,0.48505             ,819                 ,3385                ,0.41531             ,2017                ,3421                ,0.61819             ,2438                ,2482                ,3747                ,0.89741             ,1450                ,1884                ,3612                ,0.50932             ,458                 ,123                 ,592                 ,0.49732             
2500                ,0.87947             ,0.87719             ,0.04735             ,0.04764             ,1880                ,2132                ,2134                ,2005                ,1925                ,1811                ,3364                ,2141                ,1818                ,3139                ,443                 ,1397                ,3006                ,1398                ,373                 ,2132                ,2975                ,0.48452             ,837                 ,3376                ,0.41358             ,2017                ,3421                ,0.6173              ,2438                ,2482                ,3747                ,0.89778             ,1450                ,1884                ,3612                ,0.50975             ,458                 ,123                 ,592                 ,0.49733             
2550                ,0.87953             ,0.87729             ,0.04734             ,0.04762             ,1880                ,2132                ,2134                ,2005                ,1925                ,1826                ,3364                ,2141                ,1818                ,3139                ,449                 ,1397                ,3006                ,1399                ,386                 ,2132                ,2975                ,0.48407             ,854                 ,3372                ,0.41163             ,2017                ,3421                ,0.61634             ,2438                ,2482                ,3747                ,0.89817             ,1450                ,1884                ,3612                ,0.51003             ,458                 ,123                 ,592                 ,0.49733             
2600                ,0.87961             ,0.87741             ,0.04732             ,0.0476              ,1880                ,2132                ,2134                ,2005                ,1925                ,1840                ,3364                ,2141                ,1818                ,3139                ,454                 ,1397                ,3005                ,1399                ,388                 ,2132                ,2975                ,0.48364             ,868                 ,3371                ,0.40931             ,2017                ,3421                ,0.61537             ,2438                ,2482                ,3747                ,0.89851             ,1450                ,1884                ,3612                ,0.51037             ,458                 ,123                 ,592                 ,0.49734             
2650                ,0.87968             ,0.87749             ,0.04731             ,0.04758             ,1880                ,2132                ,2134                ,2006                ,1925                ,1841                ,3364                ,2141                ,1818                ,3139                ,460                 ,1397                ,3005                ,1399                ,388                 ,2132                ,2975                ,0.48324             ,880                 ,3371                ,0.40679             ,2017                ,3421                ,0.61437             ,2438                ,2482                ,3747                ,0.89896             ,1450                ,1884                ,3612                ,0.51077             ,458                 ,123                 ,592                 ,0.49734             
2700                ,0.87974             ,0.87756             ,0.0473              ,0.04757             ,1880                ,2132                ,2134                ,2006                ,1925                ,1841                ,3364                ,2141                ,1818                ,3139                ,467                 ,1397                ,3004                ,1399                ,388                 ,2132                ,2975                ,0.48286             ,893                 ,3371                ,0.40446             ,2017                ,3421                ,0.61331             ,2438                ,2482                ,3747                ,0.89945             ,1450                ,1884                ,3612                ,0.51117             ,458                 ,123                 ,592                 ,0.49735             
2750                ,0.87981             ,0.87764             ,0.04728             ,0.04755             ,1880                ,2132                ,2134                ,2006                ,1925                ,1841                ,3364                ,2141                ,1818                ,3139                ,475                 ,1397                ,3004                ,1399                ,388                 ,2132                ,2975                ,0.48249             ,908                 ,3371                ,0.40219             ,2017                ,3421                ,0.61223             ,2438                ,2482                ,3747                ,0.89987             ,1450                ,1884                ,3612                ,0.51158             ,458                 ,123                 ,592                 ,0.49735             
2800                ,0.87989             ,0.87778             ,0.04727             ,0.04752             ,1880                ,2132                ,2134                ,2006                ,1925                ,1841                ,3364                ,2141                ,1818                ,3139                ,484                 ,1397                ,3004                ,1399                ,388                 ,2132                ,2975                ,0.48216             ,925                 ,3371                ,0.40004             ,2017                ,3421                ,0.61109             ,2438                ,2482                ,3747                ,0.90017             ,1450                ,1884                ,3612                ,0.51181             ,458                 ,123                 ,592                 ,0.49736             
2850                ,0.88                ,0.87805             ,0.04724             ,0.04747             ,1880                ,2132                ,2134                ,2006                ,1925                ,1842                ,3364                ,2141                ,1818                ,3139                ,496                 ,1397                ,3003                ,1399                ,388                 ,2132                ,2976                ,0.48192             ,943                 ,3371                ,0.39788             ,2017                ,3421                ,0.60991             ,2438                ,2482                ,3747                ,0.90049             ,1450                ,1884                ,3612                ,0.51212             ,458                 ,123                 ,592                 ,0.49736             
2900                ,0.88019             ,0.87844             ,0.04721             ,0.0474              ,1880                ,2132                ,2133                ,2006                ,1925                ,1841                ,3364                ,2141                ,1818                ,3139                ,513                 ,1397                ,3002                ,1399                ,397                 ,2132                ,2977                ,0.48168             ,961                 ,3371                ,0.39593             ,2017                ,3421                ,0.60871             ,2438                ,2482                ,3747                ,0.90122             ,1450                ,1884                ,3612                ,0.51263             ,458                 ,123                 ,592                 ,0.49736             
2950                ,0.88031             ,0.87889             ,0.04718             ,0.04731             ,1880                ,2132                ,2134                ,2006                ,1925                ,1841                ,3364                ,2141                ,1818                ,3139                ,534                 ,1397                ,3001                ,1399                ,409                 ,2132                ,2977                ,0.48135             ,978                 ,3371                ,0.39444             ,2017                ,3421                ,0.60764             ,2438                ,2482                ,3747                ,0.90209             ,1450                ,1884                ,3612                ,0.51286             ,458                 ,123                 ,592                 ,0.49736             
